// Disenchant - Different order of rarities because of item inheritance sheningans

// Legendary Dust Creation
new ItemCombination "Disenchant04"
data "Type 1" "Object"
data "Object 1" "Disenchanter"
data "Combine 1" "Base"
data "Transform 1" "None"
data "Type 2" "Category"
data "Object 2" "d4"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "d4"
data "Transform 3" "Consume"

new ItemCombinationResult "Disenchant04_1"
data "ResultAmount 1" "1"
data "Result 1" "Craft4"
data "PreviewStatsID" "Craft4"
data "PreviewIcon" "Craft4"

// Epic Dust Creation
new ItemCombination "Disenchant03"
data "Type 1" "Object"
data "Object 1" "Disenchanter"
data "Combine 1" "Base"
data "Transform 1" "None"
data "Type 2" "Category"
data "Object 2" "d3"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "d3"
data "Transform 3" "Consume"

new ItemCombinationResult "Disenchant03_1"
data "ResultAmount 1" "1"
data "Result 1" "Craft3"
data "PreviewStatsID" "Craft3"
data "PreviewIcon" "Craft3"

// Rare Dust Creation
new ItemCombination "Disenchant02"
data "Type 1" "Object"
data "Object 1" "Disenchanter"
data "Combine 1" "Base"
data "Transform 1" "None"
data "Type 2" "Category"
data "Object 2" "d2"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "d2"
data "Transform 3" "Consume"

new ItemCombinationResult "Disenchant02_1"
data "ResultAmount 1" "1"
data "Result 1" "Craft2"
data "PreviewStatsID" "Craft2"
data "PreviewIcon" "Craft2"

// Uncommon Dust Creation
new ItemCombination "Disenchant01"
data "Type 1" "Object"
data "Object 1" "Disenchanter"
data "Combine 1" "Base"
data "Transform 1" "None"
data "Type 2" "Category"
data "Object 2" "d1"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "d1"
data "Transform 3" "Consume"

new ItemCombinationResult "Disenchant01_1"
data "ResultAmount 1" "1"
data "Result 1" "Craft1"
data "PreviewStatsID" "Craft1"
data "PreviewIcon" "Craft1"

// Dust Upgrade

// Uncommon Dust
new ItemCombination "Transform01"
data "Type 1" "Category"
data "Object 1" "p1"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Category"
data "Object 2" "p1"
data "Combine 2" "Base"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "p1"
data "Combine 3" "Base"
data "Transform 3" "Consume"
data "Type 4" "Category"
data "Object 4" "p1"
data "Combine 4" "Base"
data "Transform 4" "Consume"

new ItemCombinationResult "Transform01_1"
data "ResultAmount 1" "1"
data "Result 1" "Craft2"
data "PreviewStatsID" "Craft2"
data "PreviewIcon" "Craft2"

// Rare Dust
new ItemCombination "Transform02"
data "Type 1" "Category"
data "Object 1" "p2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Category"
data "Object 2" "p2"
data "Combine 2" "Base"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "p2"
data "Combine 3" "Base"
data "Transform 3" "Consume"
data "Type 4" "Category"
data "Object 4" "p2"
data "Combine 4" "Base"
data "Transform 4" "Consume"

new ItemCombinationResult "Transform02_1"
data "ResultAmount 1" "1"
data "Result 1" "Craft3"
data "PreviewStatsID" "Craft3"
data "PreviewIcon" "Craft3"

// Epic Dust
new ItemCombination "Transform03"
data "Type 1" "Category"
data "Object 1" "p3"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Category"
data "Object 2" "p3"
data "Combine 2" "Base"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "p3"
data "Combine 3" "Base"
data "Transform 3" "Consume"
data "Type 4" "Category"
data "Object 4" "p3"
data "Combine 4" "Base"
data "Transform 4" "Consume"

new ItemCombinationResult "Transform03_1"
data "ResultAmount 1" "1"
data "Result 1" "Craft4"
data "PreviewStatsID" "Craft4"
data "PreviewIcon" "Craft4"

// Astrum Empyreum craft
new ItemCombination "Transform06"
data "Type 1" "Category"
data "Object 1" "c1"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Category"
data "Object 2" "c1"
data "Combine 2" "Base"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "c1"
data "Combine 3" "Base"
data "Transform 3" "Consume"
data "Type 4" "Category"
data "Object 4" "c1"
data "Combine 4" "Base"
data "Transform 4" "Consume"

new ItemCombinationResult "Transform06_1"
data "ResultAmount 1" "1"
data "Result 1" "Enchant_Crystal2"
data "PreviewStatsID" "Enchant_Crystal2"
data "PreviewIcon" "Enchant_Crystal2"

// Astrum Opus craft
new ItemCombination "Transform04"
data "Type 1" "Category"
data "Object 1" "c2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Category"
data "Object 2" "c2"
data "Combine 2" "Base"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "c2"
data "Combine 3" "Base"
data "Transform 3" "Consume"
data "Type 4" "Category"
data "Object 4" "c2"
data "Combine 4" "Base"
data "Transform 4" "Consume"

new ItemCombinationResult "Transform04_1"
data "ResultAmount 1" "1"
data "Result 1" "Enchant_Crystal"
data "PreviewStatsID" "Enchant_Crystal"
data "PreviewIcon" "Enchant_Crystal"

// Astrum Immortalis craft
new ItemCombination "Transform05"
data "Type 1" "Category"
data "Object 1" "c3"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Category"
data "Object 2" "c3"
data "Combine 2" "Base"
data "Transform 2" "Consume"
data "Type 3" "Category"
data "Object 3" "c3"
data "Combine 3" "Base"
data "Transform 3" "Consume"
data "Type 4" "Category"
data "Object 4" "c3"
data "Combine 4" "Base"
data "Transform 4" "Consume"

new ItemCombinationResult "Transform05_1"
data "ResultAmount 1" "1"
data "Result 1" "Enchant_Crystal3"
data "PreviewStatsID" "Enchant_Crystal3"
data "PreviewIcon" "Enchant_Crystal3"

// Enchant Uncommon

new ItemCombination "arc_Greataxe1"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal4"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Greataxe"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft1"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft1"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Greataxe1_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Greataxe_u"
data "PreviewStatsID" "WPN_Greataxe_u"
data "PreviewIcon" "WPN_Greataxe"

new ItemCombination "arc_Greatsword1"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal4"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Greatsword"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft1"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft1"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Greatsword1_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Greatsword_u"
data "PreviewStatsID" "WPN_Greatsword_u"
data "PreviewIcon" "WPN_Greatsword"

new ItemCombination "arc_Halberd1"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal4"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Halberd"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft1"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft1"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Halberd1_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Halberd_u"
data "PreviewStatsID" "WPN_Halberd_u"
data "PreviewIcon" "WPN_Halberd"

new ItemCombination "arc_Glaive1"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal4"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Glaive"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft1"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft1"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Glaive1_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Glaive_u"
data "PreviewStatsID" "WPN_Glaive_u"
data "PreviewIcon" "WPN_Glaive"

new ItemCombination "arc_HeavyCrossbow1"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal4"
data "Combine 1" "Base"
data "Transform 1" "Consume"
